cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Air Armor Ninja,3,69023354,Common,M,Unlimited,Order of Chaos,ORCS-EN014
Air Cracking Storm,3,98864751,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN071
Airknight Parshath,3,18036057,Common,M,Unlimited,Structure Deck: Lost Sanctuary,SDLS-EN017
Airorca,3,84747429,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN087
Aitsu,3,48202661,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN111
Al-Lumi'raj,3,25795273,Common,M,Unlimited,Breakers of Shadow,BOSH-EN037
Alchemy Cycle,3,65384019,Common,M,Unlimited,Phantom Darkness,PTDN-EN068
"Alector, Sovereign of Birds",3,17573739,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN153
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Starter Deck: Saber Force,YS15-ENF01
Alien Brain,3,17490535,Common,M,Unlimited,Absolute Powerforce,ABPF-EN075
Alien Dog,3,15475415,Common,M,Unlimited,Raging Battle,RGBT-EN033
Alien Grey,3,62437709,Common,M,Unlimited,Power of the Duelist,POTD-EN024
Alien Hunter,3,62315111,Common,M,Unlimited,Power of the Duelist,POTD-EN026
Alien Hypno,3,38468214,Common,M,Unlimited,Gladiator's Assault,GLAS-EN035
Alien Infiltrator,3,76573247,Common,M,Unlimited,Cyberdark Impact,CDIP-EN033
Alien Mars,3,99532708,Common,M,Unlimited,Cyberdark Impact,CDIP-EN034
Alien Mother,3,24104865,Common,M,Unlimited,Champion Pack 8,CP08-EN017
Alien Psychic,3,58012107,Common,M,Unlimited,Strike of Neos,STON-EN031
Alien Shocktrooper,3,97127906,Common,M,Unlimited,Tactical Evolution,TAEV-EN001
Alien Skull,3,25920413,Common,M,Unlimited,Power of the Duelist,POTD-EN025
Alien Stealthbuster,3,58066722,Common,M,Unlimited,Dawn of Majesty,DAMA-EN021
Alien Warrior,3,98719226,Common,M,Unlimited,Champion Pack 8,CP08-EN016
Alinsection,3,70924884,Common,M,Unlimited,Speed Duel Decks: Ultimate Predators,SS03-ENB07
All-Out Attacks,3,30834988,Common,M,Unlimited,Phantom Darkness,PTDN-EN075
Alligator's Sword,3,64428736,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENB05
Alligator's Sword Dragon,3,3366982,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENB22
Allure of Darkness,3,1475311,Common,M,Unlimited,Structure Deck: Gates of the Underworld,SDGU-EN027
Allure Queen LV3,3,87257460,Common,M,Unlimited,Cyberdark Impact,CDIP-EN006
Alluring Mirror Split,3,92881099,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN085
Allvain the Essence of Vanity,3,3544583,Common,M,Unlimited,Dawn of Majesty,DAMA-EN038
Ally Mind,3,40155554,Common,M,Unlimited,Duel Terminal 2,DT02-EN023
Ally of Justice Clausolas,3,89386122,Common,M,Unlimited,Duel Terminal 1,DT01-EN023
Ally of Justice Core Destroyer,3,36629203,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN036
Ally of Justice Garadholg,3,25771826,Common,M,Unlimited,Duel Terminal 1,DT01-EN024
Ally of Justice Nullfier,3,76650663,Common,M,Unlimited,Duel Terminal 2,DT02-EN024
Ally of Justice Quarantine,3,72845813,Common,M,Unlimited,Duel Terminal 3,DT03-EN079
Ally of Justice Rudra,3,52265835,Common,M,Unlimited,Duel Terminal 1,DT01-EN025
Ally of Justice Thousand Arms,3,85876417,Common,M,Unlimited,Starstrike Blast,STBL-EN093
Ally of Justice Unknown Crusher,3,22371016,Common,M,Unlimited,Starstrike Blast,STBL-EN094
Ally of Justice Unlimiter,3,82377606,Common,M,Unlimited,Duel Terminal 2,DT02-EN081
Aloof Lupine,3,92998610,Common,M,Unlimited,Savage Strike,SAST-EN030
"Alpacaribou, Mystical Beast of the Forest",3,77797992,Common,M,Unlimited,Legacy of the Valiant,LVAL-EN095
Alpha The Magnet Warrior,3,99785935,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN023
Altar for Tribute,3,21070956,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN257
Altergeist Camouflage,3,80143954,Starfoil Rare,M,Unlimited,Star Pack VRAINS,SP18-EN047
Altergeist Dragvirion,3,21187631,Common,M,Unlimited,Dark Neostorm,DANE-EN033
Altergeist Emulatelf,3,86885905,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN047
Altergeist Fifinellag,3,12977245,Common,M,Unlimited,Dark Neostorm,DANE-EN005
Altergeist Haunted Rock,3,2547033,Common,M,Unlimited,Dark Neostorm,DANE-EN068
Altergeist Kidolga,3,76685519,Common,M,Unlimited,Flames of Destruction,FLOD-EN042
Altergeist Kunquery,3,52927340,Common,M,Unlimited,Circuit Break,CIBR-EN015
Altergeist Marionetter,3,53143898,Starfoil Rare,M,Unlimited,Star Pack VRAINS,SP18-EN028
Altergeist Pixiel,3,57769391,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN010
Altergeist Primebanshee,3,93503294,Common,M,Unlimited,Star Pack VRAINS,SP18-EN037
Altergeist Protocol,3,27541563,Common,M,Unlimited,Star Pack VRAINS,SP18-EN048
Altergeist Silquitous,3,89538537,Starfoil Rare,M,Unlimited,Star Pack VRAINS,SP18-EN030
Alviss of the Nordic Alfar,3,27024795,Common,M,Unlimited,Soul Fusion,SOFU-EN000
Amabie,3,2139640,Promo,M,Unlimited,Miscellaneous Promotional Cards,21CC-EN001
Amano-Iwato,3,32181268,Common,M,Unlimited,Circuit Break,CIBR-EN036
Amanokujaki,3,43739056,Common,M,Unlimited,Blazing Vortex,BLVO-EN033
Amarylease,3,18988391,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN120
Amaze Attraction Majestic Merry-Go-Round,3,29867611,Common,M,Unlimited,Lightning Overdrive,LIOV-EN073
Amaze Attraction Rapid Racing,3,55262310,Common,M,Unlimited,Lightning Overdrive,LIOV-EN074
Amaze Attraction Viking Vortex,3,97182396,Common,M,Unlimited,Dawn of Majesty,DAMA-EN076
Amaze Attraction Wonder Wheel,3,93473606,Common,M,Unlimited,Lightning Overdrive,LIOV-EN072
Amazement Ambassador Bufo,3,30829071,Common,M,Unlimited,Lightning Overdrive,LIOV-EN007
Amazement Special Show,3,6374519,Common,M,Unlimited,Lightning Overdrive,LIOV-EN057
Amazing Pendulum,3,37803970,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN151
Amazon of the Seas,3,17968114,Common,M,Unlimited,Astral Pack 6,AP06-EN016
Amazoness Archer,3,91869203,Common,M,Unlimited,Gold Series 3,GLD3-EN003
Amazoness Archers,3,67987611,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENC15
Amazoness Blowpiper,3,73574678,Common,M,Unlimited,Gold Series 3,GLD3-EN007
Amazoness Chain Master,3,29654737,Common,M,Unlimited,Gold Series 3,GLD3-EN017
Amazoness Empress,3,4591250,Common,M,Unlimited,Circuit Break,CIBR-EN095
Amazoness Fighter,3,55821894,Common,M,Unlimited,Gold Series 3,GLD3-EN005
Amazoness Fighting Spirit,3,36100154,Common,M,Unlimited,Duelist Revolution,DREV-EN054
Amazoness Heirloom,3,79965360,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENC14
Amazoness Onslaught,3,83407038,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN025
Amazoness Paladin,3,47480070,Common,M,Unlimited,Gold Series 3,GLD3-EN004
Amazoness Pet Liger,3,68507541,Common,M,Unlimited,Circuit Break,CIBR-EN094
Amazoness Princess,3,84539520,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN022
Amazoness Queen,3,15951532,Common,M,Unlimited,OTS Tournament Pack 6,OP06-EN025
Amazoness Sage,3,53162898,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENC07
Amazoness Scouts,3,71209500,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN095
Amazoness Spellcaster,3,81325903,Common,M,Unlimited,Magician's Force,MFC-084
Amazoness Spy,3,31102447,Common,M,Unlimited,Circuit Break,CIBR-EN093
Amazoness Swords Woman,3,94004268,Common,M,Unlimited,Gold Series 3,GLD3-EN006
Amazoness Tiger,3,10979723,Common,M,Unlimited,Gold Series 3,GLD3-EN008
Amazoness Trainee,3,89567993,Common,M,Unlimited,Speed Duel: Attack from the Deep,SBAD-EN015
Amazoness Village,3,712559,Common,M,Unlimited,Legendary Duelists,LEDU-EN014
Ambitious Gofer,3,41224658,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN160
Ambulance Rescueroid,3,98927491,Common,M,Unlimited,Power of the Duelist,POTD-EN035
Ambulanceroid,3,36378213,Common,M,Unlimited,Power of the Duelist,POTD-EN009
Ambush Fangs,3,77972406,Common,M,Unlimited,Tactical Evolution,TAEV-EN070
Ameba,3,95174353,Common,M,Unlimited,Dark Beginning 1,DB1-EN008
Amores of Prophecy,3,40213117,Common,M,Unlimited,Return of the Duelist,REDU-EN016
"Amorphactor Pain, the Imagination Dracoverlord",3,98287529,Common,M,Unlimited,OTS Tournament Pack 15,OP15-EN021
Amorphage Pride,3,6283472,Common,M,Unlimited,Shining Victories,SHVI-EN029
Amorphage Wrath,3,79794767,Common,M,Unlimited,Shining Victories,SHVI-EN028
Amorphous Persona,3,23160024,Common,M,Unlimited,OTS Tournament Pack 15,OP15-EN022
Amphibian Beast,3,67371383,Common,M,Unlimited,Dark Beginning 1,DB1-EN211
Amphibious Bugroth,3,40173854,Common,M,Unlimited,McDonald's Promo Series 2,MDP2-EN012
Amphibious Bugroth MK-3,3,64342551,Common,M,Unlimited,Structure Deck: Fury from the Deep,SD4-EN009
Amplifier,3,303660,Common,M,Unlimited,Legendary Duelists: Rage of Ra,LED7-EN043
Amulet Dragon,3,75380687,Common,M,Unlimited,Legendary Dragon Decks,LEDD-ENA35
Amulet of Ambition,3,5183693,Common,M,Unlimited,Tactical Evolution,TAEV-EN061
An Owl of Luck,3,23927567,Common,M,Unlimited,Pharaonic Guardian,PGD-073
An Unfortunate Report,3,19763315,Common,M,Unlimited,Gladiator's Assault,GLAS-EN080
Anarchist Monk Ranshin,3,58324930,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN092
Anchamoufrite,3,52296675,Common,M,Unlimited,Lightning Overdrive,LIOV-EN026
Ancient Brain,3,42431843,Common,M,Unlimited,Speed Duel: Trials of the Kingdom,SBTK-EN004
Ancient City - Rainbow Ruins,3,34487429,Common,M,Unlimited,Ra Yellow Mega Pack,RYMP-EN053
Ancient Crimson Ape,3,50781944,Common,M,Unlimited,Ancient Prophecy,ANPR-EN038
Ancient Elf,3,93221206,Common,M,Unlimited,Starter Deck: Yugi,SDY-024
Ancient Fairy Dragon,0,25862681,Common,M,Unlimited,Legendary Collection 5D's,LC5D-EN238
Ancient Gear,3,31557782,Common,M,Unlimited,Shadow of Infinity,SOI-EN008
Ancient Gear Beast,3,10509340,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN007
Ancient Gear Box,3,60953949,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN011
Ancient Gear Cannon,3,80045583,Common,M,Unlimited,Shadow of Infinity,SOI-EN009
Ancient Gear Castle,3,92001300,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN023
Ancient Gear Catapult,3,44052074,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN089
Ancient Gear Drill,3,67829249,Common,M,Unlimited,Shadow of Infinity,SOI-EN040
Ancient Gear Engineer,3,1953925,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN008
Ancient Gear Explosive,3,4446672,Common,M,Unlimited,Structure Deck: Machine Re-Volt,SD10-EN019
Ancient Gear Factory,3,30435145,Common,M,Unlimited,Shadow of Infinity,SOI-EN039
Ancient Gear Fist,3,40830387,Common,M,Unlimited,Structure Deck: Machine Re-Volt,SD10-EN020
Ancient Gear Fortress,3,70147689,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN022
Ancient Gear Frame,3,1278431,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN086
Ancient Gear Gadget,3,18486927,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN081
Ancient Gear Gadjiltron Chimera,3,86321248,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN006
Ancient Gear Gadjiltron Dragon,3,50933533,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN004
Ancient Gear Golem,3,83104731,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN005
Ancient Gear Golem - Ultimate Pound,3,95735217,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN103
Ancient Gear Howitzer,3,87182127,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN202
Ancient Gear Hunting Hound,3,42878636,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN180
Ancient Gear Hydra,3,81269231,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN083
Ancient Gear Knight,3,39303359,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN009
Ancient Gear Reactor Dragon,3,44874522,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN082
Ancient Gear Soldier,3,56094445,Common,M,Unlimited,The Lost Millennium,TLM-EN008
Ancient Gear Tank,3,37457534,Common,M,Unlimited,Structure Deck: Machine Re-Volt,SD10-EN018
Ancient Gear Token,3,44052075,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-ENTKN
Ancient Gear Workshop,3,59811955,Common,M,Unlimited,Structure Deck: Machine Reactor,SR03-EN024
Ancient Gear Wyvern,3,17663375,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN084
Ancient Lamp,3,54912977,Common,M,Unlimited,Legendary Decks II,LDK2-ENK14
Ancient Leaf,3,11830996,Common,M,Unlimited,Ancient Prophecy,ANPR-EN061
Ancient Rules,3,10667321,Common,M,Unlimited,Legendary Decks II,LDK2-ENK27
Ancient Telescope,3,17092736,Common,M,Unlimited,Starter Deck: Kaiba,SDK-039
Ancient Tool,3,49587396,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN174
Ancient Warriors - Deceptive Jia Wen,3,6438003,Common,M,Unlimited,Eternity Code,ETCO-EN022
Ancient Warriors - Fearsome Zhang Yuan,3,60033398,Common,M,Unlimited,Eternity Code,ETCO-EN021
Ancient Warriors Saga - Borrowing of Arrows,3,33609093,Common,M,Unlimited,Eternity Code,ETCO-EN069
Ancient Warriors Saga - Chivalrous Path,3,82255872,Common,M,Unlimited,Blazing Vortex,BLVO-EN074
Ancient Warriors Saga - East-by-South Winds,3,62528292,Common,M,Unlimited,Rise of the Duelist,ROTD-EN060
And the Band Played On,3,47594939,Common,M,Unlimited,Primal Origin,PRIO-EN079
Anesthrokket Dragon,3,53266486,Common,M,Unlimited,Circuit Break,CIBR-EN009
Angel O7,3,56784842,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN135
Angel Trumpeter,3,87979586,Common,M,Unlimited,Shining Victories,SHVI-EN001
Ansatsu,3,48365709,Common,M,Unlimited,Starter Deck: Yugi,SDY-016
Ante,3,34236961,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN074
Anteatereatingant,3,13250922,Common,M,Unlimited,Shadow of Infinity,SOI-EN022
Anthrosaurus,3,89904598,Common,M,Unlimited,Speed Duel Decks: Ultimate Predators,SS03-ENA06
Anti-Aircraft Flower,3,65064143,Common,M,Unlimited,Dark Revelation Volume 2,DR2-EN077
Anti-Fusion Device,3,72150572,Common,M,Unlimited,Strike of Neos,STON-EN055
Anti-Magic Prism,3,20138923,Common,M,Unlimited,Duelist Revolution,DREV-EN078
Anti-Spell,3,53112492,Common,M,Unlimited,Magician's Force,MFC-103
Anti-Spell Fragrance,3,58921041,Common,M,Unlimited,Structure Deck: Zombie Horde,SR07-EN039
Antialian,3,43583400,Common,M,Unlimited,Structure Deck: Powercode Link,SDPL-EN006
Ape Fighter,3,41098335,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN093
Ape Magician,3,31975743,Common,M,Unlimited,Abyss Rising,ABYR-EN092
Apex Predation,3,25573115,Common,M,Unlimited,Burst of Destiny,BODE-EN084
Apocatequil,3,41158734,Common,M,Unlimited,Absolute Powerforce,ABPF-EN022
Apple of Enlightenment,3,43341600,Common,M,Unlimited,2020 Tin of Lost Memories Mega Pack,MP20-EN046
Appointer of the Red Lotus,3,43262273,Common,M,Unlimited,Stardust Overdrive,SOVR-EN080
Apprentice Magician,3,9156135,Common,M,Unlimited,Structure Deck: Spellcaster's Command,SDSC-EN008
Apprentice Piper,3,64977888,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN194
Appropriate,3,48539234,Common,M,Unlimited,Retro Pack 2,RP02-EN008
Aqua Armor Ninja,3,96427353,Common,M,Unlimited,Order of Chaos,ORCS-EN015
Aqua Dragon,3,86164529,Common,M,Unlimited,McDonald's Promo Series 2,MDP2-EN013
Aqua Jet,3,7653207,Common,M,Unlimited,Structure Deck: Realm of the Sea Emperor,SDRE-EN027
Aqua Madoor,3,85639257,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN002
Aqua Spirit,3,40916023,Common,M,Unlimited,Structure Deck: Freezing Chains,SDFC-EN021
Aqua Story - Urashima,3,28325165,Common,M,Unlimited,Dragons of Legend: The Complete Series,DLCS-EN096
Aquaactress Arowana,3,92053608,Common,M,Unlimited,Dragons of Legend: The Complete Series,DLCS-EN092
Aquaactress Guppy,3,66668900,Common,M,Unlimited,Dragons of Legend: The Complete Series,DLCS-EN091
Aquaactress Tetra,3,39260991,Common,M,Unlimited,Dragons of Legend: The Complete Series,DLCS-EN090
Aquamirror Cycle,3,78910579,Common,M,Unlimited,Galactic Overlord,GAOV-EN079
Aquamirror Illusion,3,64437633,Common,M,Unlimited,Duel Terminal 6,DT06-EN099
