cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Abyss Soldier,3,18318842,Common,M,Unlimited,Structure Deck: Realm of the Sea Emperor,SDRE-EN014
Abyss Stungray,3,97232518,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN036
Abyss Stungray,3,97232518,Common,M,Unlimited,Crossed Souls,CROS-EN077
Abyss Warrior,3,88409165,Common,M,Unlimited,Abyss Rising,ABYR-EN028
Abyss-scale of Cetus,3,19596712,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN061
Abyss-scale of the Kraken,3,8719957,Common,M,Unlimited,Abyss Rising,ABYR-EN056
Abyss-scale of the Mizuchi,3,72932673,Common,M,Unlimited,Lord of the Tachyon Galaxy,LTGY-EN064
Abyss-scale of the Mizuchi,3,72932673,Common,M,Unlimited,2014 Mega-Tin Mega Pack,MP14-EN040
Abyss-scorn,3,79206750,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN075
Abyssal Designator,3,89801755,Common,M,Unlimited,Dark Revelation Volume 3,DR3-EN040
Abyssal Designator,3,89801755,Common,M,Unlimited,Soul of the Duelist,SOD-EN040
Abyssal Kingshark,3,44223284,Common,M,Unlimited,Turbo Pack: Booster Five,TU05-EN013
Abyssal Kingshark,3,44223284,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN155
Accel Synchron,3,37675907,Common,M,Unlimited,Legendary Duelists: Magical Hero,LED6-EN028
Accellight,3,34838437,Common,M,Unlimited,Legendary Duelists: White Dragon Abyss,LED3-EN044
Accumulated Fortune,3,98444741,Common,M,Unlimited,Cyberdark Impact,CDIP-EN057
Achacha Archer,3,98865920,Common,M,Unlimited,Generation Force,GENF-EN003
Achacha Archer,3,98865920,Common,M,Unlimited,Super Starter: V for Victory,YS13-EN014
Achacha Archer,3,98865920,Common,M,Unlimited,Star Pack 2013,SP13-EN004
Achacha Chanbara,3,62476197,Common,M,Unlimited,Abyss Rising,ABYR-EN003
Acid Rain,3,21323861,Common,M,Unlimited,Duel Terminal 2,DT02-EN037
Acid Trap Hole,3,41356845,Common,M,Unlimited,Structure Deck: Marik,SDMA-EN029
Acid Trap Hole,3,41356845,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN102
Acidic Downpour,3,35956022,Common,M,Unlimited,Phantom Darkness,PTDN-EN058
Acorno,3,21051977,Common,M,Unlimited,Photon Shockwave,PHSW-EN006
Acrobat Monkey,3,47372349,Common,M,Unlimited,Starter Deck: Syrus Truesdale,YSDS-EN004
Acrobat Monkey,3,47372349,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN165
Action Magic - Double Banking,3,35498188,Common,M,Unlimited,Chaos Impact,CHIM-EN094
Action Magic - Full Turn,3,99004583,Common,M,Unlimited,Chaos Impact,CHIM-EN093
Adamancipator Crystal - Dragite,3,10286023,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN229
Adamancipator Crystal - Leonite,3,47897376,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN227
Adamancipator Crystal - Raptite,3,74891384,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN228
Adamancipator Laputite,3,46552140,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN233
Adamancipator Resonance,3,45730592,Common,M,Unlimited,2021 Tin of Ancient Battles,MP21-EN236
Adhesion Trap Hole,3,62325062,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN105
Adhesion Trap Hole,3,62325062,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN274
Adhesion Trap Hole,3,62325062,Common,M,Unlimited,Duel Terminal 1,DT01-EN098
Adhesion Trap Hole,3,62325062,Common,M,Unlimited,Speed Duel Decks: Ultimate Predators,SS03-ENB28
Adhesion Trap Hole,3,62325062,Common,M,Unlimited,Magician's Force,MFC-050
Adhesive Explosive,3,53828396,Common,M,Unlimited,Dark Revelation Volume 4,DR04-EN131
Advance Draw,3,51630558,Common,M,Unlimited,Ancient Prophecy,ANPR-EN047
Advance Draw,3,51630558,Common,M,Unlimited,Duelist Pack 9: Yusei 2,DP09-EN021
Advance Force,3,38589847,Common,M,Unlimited,Absolute Powerforce,ABPF-EN048
Advance Zone,3,76224717,Common,M,Unlimited,OTS Tournament Pack 1,OP01-EN027
Advanced Dark,3,12644061,Common,M,Unlimited,Legendary Duelists: Season 1,LDS1-EN109
Advanced Ritual Art,3,46052429,Common,M,Unlimited,Duel Terminal 6,DT06-EN042
Advanced Ritual Art,3,46052429,Common,M,Unlimited,Strike of Neos,STON-EN045
Aegaion the Sea Castrum,3,10678778,Common,M,Unlimited,Breakers of Shadow,BOSH-EN055
Aegaion the Sea Castrum,3,10678778,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN213
Aegis of Gaia,3,47060347,Common,M,Unlimited,Gold Series 3,GLD3-EN050
Aegis of the Ocean Dragon Lord,3,7935043,Common,M,Unlimited,Structure Deck: Realm of the Sea Emperor,SDRE-EN033
Aegis of the Ocean Dragon Lord,3,7935043,Common,M,Unlimited,Ancient Prophecy,ANPR-EN076
Aerial Recharge,3,70875955,Common,M,Unlimited,Lord of the Tachyon Galaxy,LTGY-EN073
Aerial Recharge,3,70875955,Common,M,Unlimited,2014 Mega-Tin Mega Pack,MP14-EN048
Aeropixthree,3,83094004,Common,M,Unlimited,Dawn of Majesty,DAMA-EN031
"Aether, the Empowering Dragon",3,56804361,Common,M,Unlimited,Demo Deck 2016,DEM3-EN008
"Aether, the Empowering Dragon",3,56804361,Common,M,Unlimited,Super Starter: Space-Time Showdown,YS14-EN011
After the Storm,3,82263578,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN066
After the Struggle,3,25345186,Common,M,Unlimited,Dark Beginning 2,DB2-EN195
Against the Wind,3,64952266,Common,M,Unlimited,Duelist Pack 11: Crow,DP11-EN018
Agave Dragon,3,2411269,Common,M,Unlimited,Soul Fusion,SOFU-EN048
Agave Dragon,3,2411269,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN191
Agido,3,16135253,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN242
"Ahrima, the Wicked Warden",3,86377375,Common,M,Unlimited,Egyptian God Deck: Slifer the Sky Dragon,EGS1-EN016
Air Armor Ninja,3,69023354,Common,M,Unlimited,Order of Chaos,ORCS-EN014
Air Armor Ninja,3,69023354,Common,M,Unlimited,Star Pack 2013,SP13-EN016
Air Cracking Storm,3,98864751,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN071
Air Cracking Storm,3,98864751,Common,M,Unlimited,Code of the Duelist,COTD-EN055
Air Cracking Storm,3,98864751,Common,M,Unlimited,Star Pack VRAINS,SP18-EN042
Airknight Parshath,3,18036057,Common,M,Unlimited,Structure Deck: Lost Sanctuary,SDLS-EN017
Airknight Parshath,3,18036057,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN124
Airknight Parshath,3,18036057,Common,M,Unlimited,Structure Deck: Wave of Light,SR05-EN005
Airknight Parshath,3,18036057,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN132
Airorca,3,84747429,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN087
Aitsu,3,48202661,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN111
Aitsu,3,48202661,Common,M,Unlimited,Magician's Force,MFC-056
Al-Lumi'raj,3,25795273,Common,M,Unlimited,Breakers of Shadow,BOSH-EN037
Al-Lumi'raj,3,25795273,Common,M,Unlimited,2016 Mega-Tin Mega Pack,MP16-EN204
Alchemy Cycle,3,65384019,Common,M,Unlimited,Phantom Darkness,PTDN-EN068
"Alector, Sovereign of Birds",3,17573739,Common,M,Unlimited,Battle Pack: Epic Dawn,BP01-EN153
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Starter Deck: Saber Force,YS15-ENF01
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN004
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Legendary Decks II,LDK2-ENK12
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Starter Deck: Xyz Symphony,YS12-EN001
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Structure Deck: Realm of Light,SDLI-EN001
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Starter Deck: Kaiba Reloaded,YSKR-EN011
Alexandrite Dragon,3,43096270,Common,M,Unlimited,Structure Deck: Saga of Blue-Eyes White Dragon,SDBE-EN003
Alien Brain,3,17490535,Common,M,Unlimited,Absolute Powerforce,ABPF-EN075
Alien Brain,3,17490535,Common,M,Unlimited,OTS Tournament Pack 16,OP16-EN021
Alien Brain,3,17490535,Common,M,Unlimited,Battle Pack 3: Monster League,BP03-EN215
Alien Dog,3,15475415,Common,M,Unlimited,Raging Battle,RGBT-EN033
Alien Grey,3,62437709,Common,M,Unlimited,Power of the Duelist,POTD-EN024
Alien Hunter,3,62315111,Common,M,Unlimited,Power of the Duelist,POTD-EN026
Alien Hypno,3,38468214,Common,M,Unlimited,Gladiator's Assault,GLAS-EN035
Alien Infiltrator,3,76573247,Common,M,Unlimited,Cyberdark Impact,CDIP-EN033
Alien Mars,3,99532708,Common,M,Unlimited,Cyberdark Impact,CDIP-EN034
Alien Mother,3,24104865,Common,M,Unlimited,Champion Pack 8,CP08-EN017
Alien Psychic,3,58012107,Common,M,Unlimited,Strike of Neos,STON-EN031
Alien Shocktrooper,3,97127906,Common,M,Unlimited,Tactical Evolution,TAEV-EN001
Alien Skull,3,25920413,Common,M,Unlimited,Power of the Duelist,POTD-EN025
Alien Stealthbuster,3,58066722,Common,M,Unlimited,Dawn of Majesty,DAMA-EN021
Alien Warrior,3,98719226,Common,M,Unlimited,Champion Pack 8,CP08-EN016
Alinsection,3,70924884,Common,M,Unlimited,Speed Duel Decks: Ultimate Predators,SS03-ENB07
All-Out Attacks,3,30834988,Common,M,Unlimited,Phantom Darkness,PTDN-EN075
All-Out Attacks,3,30834988,Common,M,Unlimited,OTS Tournament Pack 11,OP11-EN022
Alligator's Sword,3,64428736,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENB05
Alligator's Sword,3,64428736,Common,M,Unlimited,Legendary Decks II,LDK2-ENJ08
Alligator's Sword,3,64428736,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN012
Alligator's Sword Dragon,3,3366982,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENB22
Alligator's Sword Dragon,3,3366982,Common,M,Unlimited,Duel Terminal 4,DT04-EN086
Alligator's Sword Dragon,3,3366982,Common,M,Unlimited,Legendary Decks II,LDK2-ENJ43
Alligator's Sword Dragon,3,3366982,Common,M,Unlimited,Legendary Collection 4: Joey's World,LCJW-EN056
Allure of Darkness,3,1475311,Common,M,Unlimited,Structure Deck: Gates of the Underworld,SDGU-EN027
Allure of Darkness,3,1475311,Common,M,Unlimited,OTS Tournament Pack 1,OP01-EN025
Allure of Darkness,3,1475311,Common,M,Unlimited,Structure Deck: Pendulum Domination,SDPD-EN029
Allure of Darkness,3,1475311,Common,M,Unlimited,Structure Deck: Lair of Darkness,SR06-EN024
Allure of Darkness,3,1475311,Common,M,Unlimited,Structure Deck: Marik,SDMA-EN028
Allure of Darkness,3,1475311,Common,M,Unlimited,Speed Duel Decks: Twisted Nightmares,SS05-ENA26
Allure of Darkness,3,1475311,Common,M,Unlimited,Structure Deck: Shaddoll Showdown,SDSH-EN028
Allure Queen LV3,3,87257460,Common,M,Unlimited,Cyberdark Impact,CDIP-EN006
Alluring Mirror Split,3,92881099,Common,M,Unlimited,Legendary Duelists: Season 2,LDS2-EN085
Allvain the Essence of Vanity,3,3544583,Common,M,Unlimited,Dawn of Majesty,DAMA-EN038
Ally Mind,3,40155554,Common,M,Unlimited,Duel Terminal 2,DT02-EN023
Ally of Justice Clausolas,3,89386122,Common,M,Unlimited,Duel Terminal 1,DT01-EN023
Ally of Justice Clausolas,3,89386122,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN169
Ally of Justice Core Destroyer,3,36629203,Common,M,Unlimited,Speed Duel: Scars of Battle,SBSC-EN036
Ally of Justice Garadholg,3,25771826,Common,M,Unlimited,Duel Terminal 1,DT01-EN024
Ally of Justice Nullfier,3,76650663,Common,M,Unlimited,Duel Terminal 2,DT02-EN024
Ally of Justice Quarantine,3,72845813,Common,M,Unlimited,Duel Terminal 3,DT03-EN079
Ally of Justice Rudra,3,52265835,Common,M,Unlimited,Duel Terminal 1,DT01-EN025
Ally of Justice Thousand Arms,3,85876417,Common,M,Unlimited,Starstrike Blast,STBL-EN093
Ally of Justice Thousand Arms,3,85876417,Common,M,Unlimited,Duel Terminal 1,DT01-EN078
Ally of Justice Unknown Crusher,3,22371016,Common,M,Unlimited,Starstrike Blast,STBL-EN094
Ally of Justice Unlimiter,3,82377606,Common,M,Unlimited,Duel Terminal 2,DT02-EN081
Aloof Lupine,3,92998610,Common,M,Unlimited,Savage Strike,SAST-EN030
"Alpacaribou, Mystical Beast of the Forest",3,77797992,Common,M,Unlimited,Legacy of the Valiant,LVAL-EN095
"Alpacaribou, Mystical Beast of the Forest",3,77797992,Common,M,Unlimited,2014 Mega-Tin Mega Pack,MP14-EN244
Alpha The Magnet Warrior,3,99785935,Common,M,Unlimited,Speed Duel: Battle City Box,SBCB-EN023
Alpha The Magnet Warrior,3,99785935,Common,M,Unlimited,King of Games: Yugi's Legendary Decks,YGLD-ENB11
Alpha The Magnet Warrior,3,99785935,Common,M,Unlimited,Structure Deck: Yugi Muto,SDMY-EN007
Alpha The Magnet Warrior,3,99785935,Common,M,Unlimited,Legendary Collection 3: Yugi's World,LCYW-EN012
Altar for Tribute,3,21070956,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN257
Altergeist Camouflage,3,80143954,Starfoil Rare,M,Unlimited,Star Pack VRAINS,SP18-EN047
Altergeist Dragvirion,3,21187631,Common,M,Unlimited,Dark Neostorm,DANE-EN033
Altergeist Emulatelf,3,86885905,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN047
Altergeist Emulatelf,3,86885905,Common,M,Unlimited,Flames of Destruction,FLOD-EN070
Altergeist Fifinellag,3,12977245,Common,M,Unlimited,Dark Neostorm,DANE-EN005
Altergeist Haunted Rock,3,2547033,Common,M,Unlimited,Dark Neostorm,DANE-EN068
Altergeist Kidolga,3,76685519,Common,M,Unlimited,Flames of Destruction,FLOD-EN042
Altergeist Kunquery,3,52927340,Common,M,Unlimited,Circuit Break,CIBR-EN015
Altergeist Kunquery,3,52927340,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN116
Altergeist Kunquery,3,52927340,Common,M,Unlimited,Star Pack VRAINS,SP18-EN029
Altergeist Marionetter,3,53143898,Starfoil Rare,M,Unlimited,Star Pack VRAINS,SP18-EN028
Altergeist Pixiel,3,57769391,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN010
Altergeist Pixiel,3,57769391,Common,M,Unlimited,Flames of Destruction,FLOD-EN015
Altergeist Primebanshee,3,93503294,Common,M,Unlimited,Star Pack VRAINS,SP18-EN037
Altergeist Protocol,3,27541563,Common,M,Unlimited,Star Pack VRAINS,SP18-EN048
Altergeist Silquitous,3,89538537,Starfoil Rare,M,Unlimited,Star Pack VRAINS,SP18-EN030
Alviss of the Nordic Alfar,3,27024795,Common,M,Unlimited,Soul Fusion,SOFU-EN000
Alviss of the Nordic Alfar,3,27024795,Common,M,Unlimited,2019 Gold Sarcophagus Tin Mega Pack,MP19-EN151
Amabie,3,2139640,Promo,M,Unlimited,Miscellaneous Promotional Cards,21CC-EN001
Amano-Iwato,3,32181268,Common,M,Unlimited,Circuit Break,CIBR-EN036
Amano-Iwato,3,32181268,Common,M,Unlimited,2018 Mega-Tin Mega Pack,MP18-EN125
Amanokujaki,3,43739056,Common,M,Unlimited,Blazing Vortex,BLVO-EN033
Amarylease,3,18988391,Common,M,Unlimited,Battle Pack 2: War of the Giants,BP02-EN120
Amarylease,3,18988391,Common,M,Unlimited,Cosmo Blazer,CBLZ-EN004
Amaze Attraction Majestic Merry-Go-Round,3,29867611,Common,M,Unlimited,Lightning Overdrive,LIOV-EN073
Amaze Attraction Rapid Racing,3,55262310,Common,M,Unlimited,Lightning Overdrive,LIOV-EN074
Amaze Attraction Viking Vortex,3,97182396,Common,M,Unlimited,Dawn of Majesty,DAMA-EN076
Amaze Attraction Wonder Wheel,3,93473606,Common,M,Unlimited,Lightning Overdrive,LIOV-EN072
Amazement Ambassador Bufo,3,30829071,Common,M,Unlimited,Lightning Overdrive,LIOV-EN007
Amazement Special Show,3,6374519,Common,M,Unlimited,Lightning Overdrive,LIOV-EN057
Amazing Pendulum,3,37803970,Common,M,Unlimited,2017 Mega-Tin Mega Pack,MP17-EN151
Amazing Pendulum,3,37803970,Common,M,Unlimited,Invasion: Vengeance,INOV-EN053
Amazon of the Seas,3,17968114,Common,M,Unlimited,Astral Pack 6,AP06-EN016
Amazon of the Seas,3,17968114,Common,M,Unlimited,Champion Pack 5,CP05-EN012
Amazoness Archer,3,91869203,Common,M,Unlimited,Gold Series 3,GLD3-EN003
Amazoness Archer,3,91869203,Common,M,Unlimited,Legendary Duelists,LEDU-EN012
Amazoness Archer,3,91869203,Common,M,Unlimited,Dark Beginning 1,DB1-EN233
Amazoness Archers,3,67987611,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENC15
Amazoness Archers,3,67987611,Common,M,Unlimited,Gold Series 3,GLD3-EN046
Amazoness Blowpiper,3,73574678,Common,M,Unlimited,Gold Series 3,GLD3-EN007
Amazoness Blowpiper,3,73574678,Common,M,Unlimited,Dark Revelation Volume 1,DR1-EN117
Amazoness Blowpiper,3,73574678,Common,M,Unlimited,Magician's Force,MFC-062
Amazoness Chain Master,3,29654737,Common,M,Unlimited,Gold Series 3,GLD3-EN017
Amazoness Chain Master,3,29654737,Common,M,Unlimited,Speed Duel Decks: Duelists of Tomorrow,SS02-ENC05
